uniprot_id,entry_name,protein,gene_name,organism,length,gene_names_(ordered_locus),gene_name_short,pathway,gene_ontology_ids,subcellular_location_[cc],interacts_with,locus
P22040,Y415_SYNY3,Uncharacterized ABC transporter ATP-binding protein sll0415,sll0415,Synechocystis sp. (strain PCC 6803 / Kazusa),354,sll0415,NA,NA,GO:0005524,NA,NA,sll0415
P42350,Y1353_SYNY3,Uncharacterized protein slr1353,slr1353,Synechocystis sp. (strain PCC 6803 / Kazusa),291,slr1353,NA,NA,NA,NA,NA,slr1353
P45451,Y1247_SYNY3,Uncharacterized protein sll1247,sll1247,Synechocystis sp. (strain PCC 6803 / Kazusa),457,sll1247,NA,NA,NA,NA,NA,sll1247
P50027,DNAJH_SYNY3,DnAJ-like protein slr0093,slr0093,Synechocystis sp. (strain PCC 6803 / Kazusa),332,slr0093,NA,NA,GO:0005829; GO:0051082; GO:0051085; GO:0051087,NA,NA,slr0093
P52056,PLPHP_SYNY3,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),slr0556,Synechocystis sp. (strain PCC 6803 / Kazusa),218,slr0556,NA,NA,GO:0030170,NA,NA,slr0556
P52761,Y709_SYNY3,RutC family protein slr0709,slr0709,Synechocystis sp. (strain PCC 6803 / Kazusa),130,slr0709,NA,NA,GO:0005829; GO:0019239; GO:1901565,NA,NA,slr0709
P54984,Y100_SYNY3,Probable hydrolase sll0100 (EC 3.-.-.-),sll0100,Synechocystis sp. (strain PCC 6803 / Kazusa),393,sll0100,NA,NA,GO:0016787,NA,NA,sll0100
P58235,YEFM_SYNY3,Antitoxin YefM,yefM ssr2754,Synechocystis sp. (strain PCC 6803 / Kazusa),87,ssr2754,yefM,NA,NA,NA,NA,ssr2754
P58236,Y761_SYNY3,Uncharacterized protein ssr0761,ssr0761,Synechocystis sp. (strain PCC 6803 / Kazusa),94,ssr0761,NA,NA,NA,NA,NA,ssr0761
P72570,P72570_SYNY3,Ssl0788 protein,ssl0788,Synechocystis sp. (strain PCC 6803 / Kazusa),97,ssl0788,NA,NA,GO:0016021,NA,NA,ssl0788
P72571,P72571_SYNY3,Ssl0787 protein,ssl0787,Synechocystis sp. (strain PCC 6803 / Kazusa),99,ssl0787,NA,NA,NA,NA,NA,ssl0787
P72572,P72572_SYNY3,Transposase,ssl0769,Synechocystis sp. (strain PCC 6803 / Kazusa),64,ssl0769,NA,NA,GO:0003676,NA,NA,ssl0769
P72573,P72573_SYNY3,Ycf40 protein,ycf40,Synechocystis sp. (strain PCC 6803 / Kazusa),71,NA,ycf40,NA,NA,NA,NA,ssr0102
P72574,P72574_SYNY3,Ssr0109 protein,ssr0109,Synechocystis sp. (strain PCC 6803 / Kazusa),62,ssr0109,NA,NA,GO:0016021,NA,NA,ssr0109
P72576,P72576_SYNY3,Ssl1300 protein,ssl1300,Synechocystis sp. (strain PCC 6803 / Kazusa),85,ssl1300,NA,NA,NA,NA,NA,ssl1300
P72582,P72582_SYNY3,Slr0613 protein,slr0613,Synechocystis sp. (strain PCC 6803 / Kazusa),173,slr0613,NA,NA,GO:0016021,NA,NA,slr0613
P72583,YC53L_SYNY3,Ycf53-like protein,sll0558,Synechocystis sp. (strain PCC 6803 / Kazusa),233,sll0558,NA,NA,GO:0046906,NA,NA,sll0558
P72589,P72589_SYNY3,Slr1315 protein,slr1315,Synechocystis sp. (strain PCC 6803 / Kazusa),202,slr1315,NA,NA,NA,NA,NA,slr1315
P72590,P72590_SYNY3,Iron(III) dicitrate transport system permease protein FecC,fecC,Synechocystis sp. (strain PCC 6803 / Kazusa),343,NA,fecC,NA,GO:0005887; GO:0022857; GO:0033214,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,slr1316
P72591,P72591_SYNY3,Iron(III) dicitrate transport system permease protein FecD,fecD,Synechocystis sp. (strain PCC 6803 / Kazusa),349,NA,fecD,NA,GO:0005887; GO:0022857; GO:0033214,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,slr1317
P72592,P72592_SYNY3,Iron(III) dicitrate transport system permease protein FecE,fecE,Synechocystis sp. (strain PCC 6803 / Kazusa),268,NA,fecE,NA,GO:0005524,NA,NA,slr1318
P72593,P72593_SYNY3,Iron(III) dicitrate transport system permease protein FecB,fecB,Synechocystis sp. (strain PCC 6803 / Kazusa),315,NA,fecB,NA,NA,NA,NA,slr1319
P72594,P72594_SYNY3,Ferric aerobactin receptor,iutA,Synechocystis sp. (strain PCC 6803 / Kazusa),851,NA,iutA,NA,GO:0015344; GO:0031230; GO:0044718,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU003357}.,NA,sll1206
P72595,P72595_SYNY3,Regulatory protein PchR,pchR,Synechocystis sp. (strain PCC 6803 / Kazusa),326,NA,pchR,NA,GO:0003700; GO:0043565,NA,NA,sll1205
P72596,P72596_SYNY3,Sll1204 protein,sll1204,Synechocystis sp. (strain PCC 6803 / Kazusa),427,sll1204,NA,NA,GO:0016021; GO:0022857,NA,NA,sll1204
P72597,P72597_SYNY3,Sll1203 protein,sll1203,Synechocystis sp. (strain PCC 6803 / Kazusa),321,sll1203,NA,NA,NA,NA,NA,sll1203
P72598,P72598_SYNY3,Sll1202 protein,sll1202,Synechocystis sp. (strain PCC 6803 / Kazusa),347,sll1202,NA,NA,GO:0030288,NA,NA,sll1202
P72599,P72599_SYNY3,Ferrichrome-iron receptor,fhuA,Synechocystis sp. (strain PCC 6803 / Kazusa),863,NA,fhuA,NA,GO:0009279; GO:0015344; GO:0016021; GO:0038023,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU003357}.,NA,sll1409
P72600,P72600_SYNY3,Regulatory protein PcrR,pcrR,Synechocystis sp. (strain PCC 6803 / Kazusa),346,NA,pcrR,NA,GO:0003700; GO:0043565,NA,NA,sll1408
P72601,P72601_SYNY3,Sll1407 protein,sll1407,Synechocystis sp. (strain PCC 6803 / Kazusa),265,sll1407,NA,NA,GO:0008168,NA,NA,sll1407
P72602,P72602_SYNY3,Ferrichrome-iron receptor,fhuA,Synechocystis sp. (strain PCC 6803 / Kazusa),828,NA,fhuA,NA,GO:0009279; GO:0015344; GO:0016021; GO:0038023,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU003357}.,NA,sll1406
P72603,P72603_SYNY3,Sll1405 protein,sll1405,Synechocystis sp. (strain PCC 6803 / Kazusa),142,sll1405,NA,NA,GO:0005887; GO:0015031; GO:0022857,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU003879}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU003879}.,NA,sll1405
P72605,P72605_SYNY3,Slr1484 protein,slr1484,Synechocystis sp. (strain PCC 6803 / Kazusa),532,slr1484,NA,NA,GO:0005886; GO:0016021; GO:0055085,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004383}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004383}; Periplasmic side {ECO:0000256|ARBA:ARBA00004383}.,NA,slr1484
P72606,P72606_SYNY3,Slr1485 protein,slr1485,Synechocystis sp. (strain PCC 6803 / Kazusa),349,slr1485,NA,NA,GO:0030288,NA,NA,slr1485
P72607,P72607_SYNY3,ABC transporter,slr1488,Synechocystis sp. (strain PCC 6803 / Kazusa),605,slr1488,NA,NA,GO:0005524; GO:0015421; GO:0016021,NA,NA,slr1488
P72608,P72608_SYNY3,Regulatory protein PchR,pchR,Synechocystis sp. (strain PCC 6803 / Kazusa),330,NA,pchR,NA,GO:0003700; GO:0043565,NA,NA,slr1489
P72609,P72609_SYNY3,Ferrichrome-iron receptor,fhuA,Synechocystis sp. (strain PCC 6803 / Kazusa),853,NA,fhuA,NA,GO:0009279; GO:0015344; GO:0016021; GO:0038023,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU003357}.,NA,slr1490
P72610,P72610_SYNY3,Iron(III) dicitrate-binding periplasmic protein,fecB,Synechocystis sp. (strain PCC 6803 / Kazusa),330,NA,fecB,NA,GO:0030288,NA,NA,slr1491
P72611,P72611_SYNY3,Iron(III) dicitrate-binding periplasmic protein,fecB,Synechocystis sp. (strain PCC 6803 / Kazusa),311,NA,fecB,NA,GO:0030288,NA,NA,slr1492
P72612,P72612_SYNY3,Slr1493 protein,slr1493,Synechocystis sp. (strain PCC 6803 / Kazusa),147,slr1493,NA,NA,NA,NA,NA,slr1493
P72613,P72613_SYNY3,ABC transporter,slr1494,Synechocystis sp. (strain PCC 6803 / Kazusa),613,slr1494,NA,NA,GO:0005524; GO:0016021; GO:0042626; GO:0055085; GO:0140359,NA,NA,slr1494
P72614,P72614_SYNY3,Sll1401 protein,sll1401,Synechocystis sp. (strain PCC 6803 / Kazusa),336,sll1401,NA,NA,NA,NA,NA,sll1401
P72615,P72615_SYNY3,Sll1400 protein,sll1400,Synechocystis sp. (strain PCC 6803 / Kazusa),113,sll1400,NA,NA,NA,NA,NA,sll1400
P72616,P72616_SYNY3,Ssl2733 protein,ssl2733,Synechocystis sp. (strain PCC 6803 / Kazusa),76,ssl2733,NA,NA,NA,NA,NA,ssl2733
P72617,P72617_SYNY3,Sll1399 protein,sll1399,Synechocystis sp. (strain PCC 6803 / Kazusa),401,sll1399,NA,NA,NA,NA,NA,sll1399
P72618,P72618_SYNY3,Slr1495 protein,slr1495,Synechocystis sp. (strain PCC 6803 / Kazusa),549,slr1495,NA,NA,GO:0003678,NA,NA,slr1495
P72619,P72619_SYNY3,Sll1396 protein,sll1396,Synechocystis sp. (strain PCC 6803 / Kazusa),224,sll1396,NA,NA,NA,NA,NA,sll1396
P72620,P72620_SYNY3,Hydrogenase isoenzymes formation protein HypD,hypD,Synechocystis sp. (strain PCC 6803 / Kazusa),374,NA,hypD,NA,GO:0005506; GO:0051539; GO:0051604; GO:0070025,NA,NA,slr1498
P72624,P72624_SYNY3,Sll1392 protein,sll1392,Synechocystis sp. (strain PCC 6803 / Kazusa),203,sll1392,NA,NA,GO:0000976; GO:0003700; GO:0006355,NA,NA,sll1392
P72625,P72625_SYNY3,Slr1501 protein,slr1501,Synechocystis sp. (strain PCC 6803 / Kazusa),225,slr1501,NA,NA,GO:0016407,NA,NA,slr1501
P72626,P72626_SYNY3,ABC transporter,slr1113,Synechocystis sp. (strain PCC 6803 / Kazusa),332,slr1113,NA,NA,GO:0005524,NA,NA,slr1113
P72627,P72627_SYNY3,Slr1114 protein,slr1114,Synechocystis sp. (strain PCC 6803 / Kazusa),585,slr1114,NA,NA,GO:0016021,NA,NA,slr1114
P72628,P72628_SYNY3,Slr1115 protein,slr1115,Synechocystis sp. (strain PCC 6803 / Kazusa),257,slr1115,NA,NA,NA,NA,NA,slr1115
P72629,P72629_SYNY3,Slr1116 protein,slr1116,Synechocystis sp. (strain PCC 6803 / Kazusa),173,slr1116,NA,NA,NA,NA,NA,slr1116
P72630,P72630_SYNY3,Slr1117 protein,slr1117,Synechocystis sp. (strain PCC 6803 / Kazusa),253,slr1117,NA,NA,GO:0008168,NA,NA,slr1117
P72631,P72631_SYNY3,Sll1064 protein,sll1064,Synechocystis sp. (strain PCC 6803 / Kazusa),568,sll1064,NA,NA,GO:0003993; GO:0046872,NA,NA,sll1064
P72632,P72632_SYNY3,UDP-N-acetyl-D-mannosaminuronic acid transferase,rffM,Synechocystis sp. (strain PCC 6803 / Kazusa),251,NA,rffM,NA,GO:0009058; GO:0016021; GO:0016758,NA,NA,slr1118
P72633,P72633_SYNY3,Sll1063 protein,sll1063,Synechocystis sp. (strain PCC 6803 / Kazusa),219,sll1063,NA,NA,GO:0002949; GO:0005829,NA,NA,sll1063
P72634,P72634_SYNY3,Slr1119 protein,slr1119,Synechocystis sp. (strain PCC 6803 / Kazusa),233,slr1119,NA,NA,GO:0004622,NA,NA,slr1119
P72635,P72635_SYNY3,Sll1062 protein,sll1062,Synechocystis sp. (strain PCC 6803 / Kazusa),125,sll1062,NA,NA,NA,NA,NA,sll1062
P72636,P72636_SYNY3,Sll1061 protein,sll1061,Synechocystis sp. (strain PCC 6803 / Kazusa),171,sll1061,NA,NA,NA,NA,NA,sll1061
P72637,Y1060_SYNY3,UPF0182 protein sll1060,sll1060,Synechocystis sp. (strain PCC 6803 / Kazusa),1032,sll1060,NA,NA,GO:0005886; GO:0016021,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01600}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01600}.,NA,sll1060
P72638,P72638_SYNY3,Ssl2069 protein,ssl2069,Synechocystis sp. (strain PCC 6803 / Kazusa),83,ssl2069,NA,NA,GO:0016021,NA,NA,ssl2069
P72639,P72639_SYNY3,Ssr1853 protein,ssr1853,Synechocystis sp. (strain PCC 6803 / Kazusa),95,ssr1853,NA,NA,NA,NA,NA,ssr1853
P72643,P72643_SYNY3,Thioredoxin M,trx,Synechocystis sp. (strain PCC 6803 / Kazusa),126,NA,trx,NA,GO:0005737; GO:0005829; GO:0015035; GO:0016491; GO:0045454,NA,NA,sll1057
P72645,P72645_SYNY3,Slr1122 protein,slr1122,Synechocystis sp. (strain PCC 6803 / Kazusa),250,slr1122,NA,NA,NA,NA,NA,slr1122
P72646,P72646_SYNY3,Sll1054 protein,sll1054,Synechocystis sp. (strain PCC 6803 / Kazusa),187,sll1054,NA,NA,GO:0005829; GO:0006753; GO:0016787; GO:0019693,NA,NA,sll1054
P72647,P72647_SYNY3,Sll1053 protein,sll1053,Synechocystis sp. (strain PCC 6803 / Kazusa),520,sll1053,NA,NA,GO:0015562; GO:1990281,NA,NA,sll1053
P72649,P72649_SYNY3,Phosphoglycerate mutase,gpmB,Synechocystis sp. (strain PCC 6803 / Kazusa),349,NA,gpmB,NA,GO:0005737; GO:0016791,NA,NA,slr1124
P72650,P72650_SYNY3,Zeaxanthin glucosyl transferase,crtX,Synechocystis sp. (strain PCC 6803 / Kazusa),419,NA,crtX,NA,GO:0008194; GO:0016758,NA,NA,slr1125
P72651,P72651_SYNY3,Probable membrane transporter protein,sll1052,Synechocystis sp. (strain PCC 6803 / Kazusa),124,sll1052,NA,NA,GO:0005886; GO:0016021,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363041}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363041}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,sll1052
P72653,P72653_SYNY3,Sll1049 protein,sll1049,Synechocystis sp. (strain PCC 6803 / Kazusa),564,sll1049,NA,NA,NA,NA,NA,sll1049
P72654,P72654_SYNY3,Slr1127 protein,slr1127,Synechocystis sp. (strain PCC 6803 / Kazusa),263,slr1127,NA,NA,NA,NA,NA,slr1127
P72655,Y1128_SYNY3,Uncharacterized protein slr1128,slr1128,Synechocystis sp. (strain PCC 6803 / Kazusa),321,slr1128,NA,NA,GO:0005886; GO:0016021,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,NA,slr1128
P72658,P72658_SYNY3,Mutator MutT protein,mutT,Synechocystis sp. (strain PCC 6803 / Kazusa),136,NA,mutT,NA,GO:0006281; GO:0008413; GO:0035539; GO:0044715; GO:0044716; GO:0046872,NA,NA,sll1045
P72661,P72661_SYNY3,Malic enzyme,me,Synechocystis sp. (strain PCC 6803 / Kazusa),463,NA,me,NA,GO:0004471; GO:0046872; GO:0051287,NA,NA,slr0721
P72662,P72662_SYNY3,Cysteine synthase,cysM,Synechocystis sp. (strain PCC 6803 / Kazusa),325,NA,cysM,NA,GO:0004124; GO:0005737; GO:0006535; GO:0019344,NA,NA,sll0712
P72664,P72664_SYNY3,Sll0710 protein,sll0710,Synechocystis sp. (strain PCC 6803 / Kazusa),726,sll0710,NA,NA,NA,NA,NA,sll0710
P72665,P72665_SYNY3,LlaI.2 protein,llaI.2,Synechocystis sp. (strain PCC 6803 / Kazusa),462,NA,llaI.2,NA,NA,NA,NA,sll0709
P72668,P72668_SYNY3,Slr0723 protein,slr0723,Synechocystis sp. (strain PCC 6803 / Kazusa),363,slr0723,NA,NA,NA,NA,NA,slr0723
P72669,P72669_SYNY3,HtaR suppressor protein,sohA,Synechocystis sp. (strain PCC 6803 / Kazusa),110,NA,sohA,NA,GO:0001558; GO:0003700; GO:0097351,NA,NA,slr0724
P72670,P72670_SYNY3,Slr0725 protein,slr0725,Synechocystis sp. (strain PCC 6803 / Kazusa),138,slr0725,NA,NA,GO:0004540; GO:0110001,NA,NA,slr0725
P72671,P72671_SYNY3,Slr0727 protein,slr0727,Synechocystis sp. (strain PCC 6803 / Kazusa),324,slr0727,NA,NA,NA,NA,NA,slr0727
P72672,P72672_SYNY3,Slr0728 protein,slr0728,Synechocystis sp. (strain PCC 6803 / Kazusa),387,slr0728,NA,NA,GO:0016021,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,slr0728
P72673,Y729_SYNY3,Thylakoid-associated protein slr0729,slr0729,Synechocystis sp. (strain PCC 6803 / Kazusa),101,slr0729,NA,NA,GO:0031676,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305|PubMed:16287171}; Peripheral membrane protein {ECO:0000305|PubMed:16287171}; Cytoplasmic side {ECO:0000305|PubMed:16287171}.,NA,slr0729
P72674,P72674_SYNY3,Slr0730 protein,slr0730,Synechocystis sp. (strain PCC 6803 / Kazusa),132,slr0730,NA,NA,GO:0016021,NA,NA,slr0730
P72675,P72675_SYNY3,Slr0731 protein,slr0731,Synechocystis sp. (strain PCC 6803 / Kazusa),402,slr0731,NA,NA,NA,NA,NA,slr0731
P72677,P72677_SYNY3,Slr0732 protein,slr0732,Synechocystis sp. (strain PCC 6803 / Kazusa),155,slr0732,NA,NA,GO:0016021,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,slr0732
P72678,P72678_SYNY3,Sll0703 protein,sll0703,Synechocystis sp. (strain PCC 6803 / Kazusa),399,sll0703,NA,NA,GO:0004791; GO:0045454; GO:0050660,NA,NA,sll0703
P72679,P72679_SYNY3,Sll0702 protein,sll0702,Synechocystis sp. (strain PCC 6803 / Kazusa),130,sll0702,NA,NA,NA,NA,NA,sll0702
P72681,P72681_SYNY3,Ssl1326 protein,ssl1326,Synechocystis sp. (strain PCC 6803 / Kazusa),94,ssl1326,NA,NA,GO:0006355,NA,NA,ssl1326
P72682,P72682_SYNY3,Slr0734 protein,slr0734,Synechocystis sp. (strain PCC 6803 / Kazusa),372,slr0734,NA,NA,GO:0005737; GO:0016491,NA,NA,slr0734
P72683,P72683_SYNY3,Geranylgeranyl pyrophosphate synthase,crtE,Synechocystis sp. (strain PCC 6803 / Kazusa),302,NA,crtE,NA,GO:0004659; GO:0008299,NA,NA,slr0739
P72684,P72684_SYNY3,Slr0740 protein,slr0740,Synechocystis sp. (strain PCC 6803 / Kazusa),131,slr0740,NA,NA,NA,NA,NA,slr0740
P72685,P72685_SYNY3,Sll0696 protein,sll0696,Synechocystis sp. (strain PCC 6803 / Kazusa),290,sll0696,NA,NA,GO:0004222; GO:0016021; GO:0071586,NA,NA,sll0696
P72690,P72690_SYNY3,Slr0236 protein,slr0236,Synechocystis sp. (strain PCC 6803 / Kazusa),222,slr0236,NA,NA,GO:0004364; GO:0006559; GO:0006749; GO:0016034,NA,NA,slr0236
P72691,P72691_SYNY3,Glycogen operon protein GlgX,glgX,Synechocystis sp. (strain PCC 6803 / Kazusa),746,NA,glgX,NA,GO:0004133; GO:0004553; GO:0005980; GO:0016757,NA,NA,slr0237
P72692,P72692_SYNY3,Slr0238 protein,slr0238,Synechocystis sp. (strain PCC 6803 / Kazusa),140,slr0238,NA,NA,GO:0016021,NA,NA,slr0238
P72693,P72693_SYNY3,Transposase,ssl0426,Synechocystis sp. (strain PCC 6803 / Kazusa),97,ssl0426,NA,NA,GO:0003676,NA,NA,ssl0426
P72694,P72694_SYNY3,Precorrin methylase,cbiF,Synechocystis sp. (strain PCC 6803 / Kazusa),264,NA,cbiF,PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis. {ECO:0000256|ARBA:ARBA00004953}.,GO:0009236; GO:0032259; GO:0046026,NA,NA,slr0239
P72695,P72695_SYNY3,Slr0240 protein,slr0240,Synechocystis sp. (strain PCC 6803 / Kazusa),140,slr0240,NA,NA,GO:0003677; GO:0045892,NA,NA,slr0240
P72696,P72696_SYNY3,Slr0241 protein,slr0241,Synechocystis sp. (strain PCC 6803 / Kazusa),281,slr0241,NA,NA,GO:0004222; GO:0006508; GO:0016021; GO:0046872,NA,NA,slr0241
P72697,P72697_SYNY3,Bacterioferritin comigratory protein,bcp,Synechocystis sp. (strain PCC 6803 / Kazusa),160,NA,bcp,NA,GO:0005737; GO:0008379; GO:0034599; GO:0045454,NA,NA,slr0242
P72698,P72698_SYNY3,Slr0243 protein,slr0243,Synechocystis sp. (strain PCC 6803 / Kazusa),175,slr0243,NA,NA,NA,NA,NA,slr0243
P72699,Y230_SYNY3,UPF0045 protein sll0230,sll0230,Synechocystis sp. (strain PCC 6803 / Kazusa),121,sll0230,NA,NA,NA,NA,NA,sll0230
P72700,P72700_SYNY3,Slr0244 protein,slr0244,Synechocystis sp. (strain PCC 6803 / Kazusa),284,slr0244,NA,NA,NA,NA,NA,slr0244
P72706,P72706_SYNY3,Sll0225 protein,sll0225,Synechocystis sp. (strain PCC 6803 / Kazusa),512,sll0225,NA,NA,GO:0005737; GO:0016881,NA,NA,sll0225
P72707,P72707_SYNY3,Sll0224 protein,sll0224,Synechocystis sp. (strain PCC 6803 / Kazusa),298,sll0224,NA,NA,GO:0030288,NA,NA,sll0224
P72708,P72708_SYNY3,Slr0249 protein,slr0249,Synechocystis sp. (strain PCC 6803 / Kazusa),124,slr0249,NA,NA,GO:0003677; GO:0006355,NA,NA,slr0249
P72709,P72709_SYNY3,Slr0250 protein,slr0250,Synechocystis sp. (strain PCC 6803 / Kazusa),178,slr0250,NA,NA,GO:0009279,NA,NA,slr0250
P72710,P72710_SYNY3,ABC transporter,slr0251,Synechocystis sp. (strain PCC 6803 / Kazusa),252,slr0251,NA,NA,GO:0005524; GO:0005886; GO:0043190; GO:0055085,NA,NA,slr0251
P72713,P72713_SYNY3,Ssl0410 protein,ssl0410,Synechocystis sp. (strain PCC 6803 / Kazusa),90,ssl0410,NA,NA,GO:0016021,NA,NA,ssl0410
P72715,P72715_SYNY3,Alkaline phosphatase,phoA,Synechocystis sp. (strain PCC 6803 / Kazusa),326,NA,phoA,NA,GO:0003993; GO:0016021,NA,NA,sll0222
P72716,P72716_SYNY3,Sgl0002 protein,sgl0002,Synechocystis sp. (strain PCC 6803 / Kazusa),49,sgl0002,NA,NA,GO:0016021,NA,NA,sgl0002
P72718,P72718_SYNY3,Slr0254 protein,slr0254,Synechocystis sp. (strain PCC 6803 / Kazusa),266,slr0254,NA,NA,GO:0016021,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,slr0254
P72719,P72719_SYNY3,Bacterioferritin comigratory protein,bcp,Synechocystis sp. (strain PCC 6803 / Kazusa),184,NA,bcp,NA,GO:0016209; GO:0016491,NA,NA,sll0221
P72722,P72722_SYNY3,Sll0218 protein,sll0218,Synechocystis sp. (strain PCC 6803 / Kazusa),172,sll0218,NA,NA,GO:0016021,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,NA,sll0218
P72724,P72724_SYNY3,Sll0216 protein,sll0216,Synechocystis sp. (strain PCC 6803 / Kazusa),210,sll0216,NA,NA,GO:0003725,NA,NA,sll0216
P72725,Y1411_SYNY3,Putative nickel insertion protein,slr1411,Synechocystis sp. (strain PCC 6803 / Kazusa),422,slr1411,NA,NA,GO:0016151; GO:0016829,NA,NA,slr1411
P72727,P72727_SYNY3,Slr1413 protein,slr1413,Synechocystis sp. (strain PCC 6803 / Kazusa),481,slr1413,NA,NA,GO:0005525; GO:0016021,NA,NA,slr1413
P72728,P72728_SYNY3,Sensory transduction histidine kinase,slr1414,Synechocystis sp. (strain PCC 6803 / Kazusa),437,slr1414,NA,NA,GO:0000155; GO:0000156; GO:0007234; GO:0030295,NA,NA,slr1414
P72729,P72729_SYNY3,Slr1415 protein,slr1415,Synechocystis sp. (strain PCC 6803 / Kazusa),382,slr1415,NA,NA,GO:0016021,NA,NA,slr1415
P72730,P72730_SYNY3,MorR protein,morR,Synechocystis sp. (strain PCC 6803 / Kazusa),314,NA,morR,NA,GO:0005524; GO:0016887,NA,NA,slr1416
P72733,P72733_SYNY3,Sll1318 protein,sll1318,Synechocystis sp. (strain PCC 6803 / Kazusa),222,sll1318,NA,NA,NA,NA,NA,sll1318
P72734,P72734_SYNY3,ABC transporter,sll1041,Synechocystis sp. (strain PCC 6803 / Kazusa),260,sll1041,NA,NA,GO:0005524,NA,NA,sll1041
P72737,P72737_SYNY3,Slr1094 protein,slr1094,Synechocystis sp. (strain PCC 6803 / Kazusa),261,slr1094,NA,NA,NA,NA,NA,slr1094
P72738,P72738_SYNY3,Sll1039 protein,sll1039,Synechocystis sp. (strain PCC 6803 / Kazusa),379,sll1039,NA,NA,NA,NA,NA,sll1039
P72739,P72739_SYNY3,Slr1095 protein,slr1095,Synechocystis sp. (strain PCC 6803 / Kazusa),215,slr1095,NA,NA,NA,NA,NA,slr1095
P72741,P72741_SYNY3,Slr1097 protein,slr1097,Synechocystis sp. (strain PCC 6803 / Kazusa),163,slr1097,NA,NA,GO:0010275,NA,NA,slr1097
P72742,P72742_SYNY3,Slr1098 protein,slr1098,Synechocystis sp. (strain PCC 6803 / Kazusa),252,slr1098,NA,NA,GO:0016226; GO:0030089,NA,P74596,slr1098
P72744,P72744_SYNY3,Slr1100 protein,slr1100,Synechocystis sp. (strain PCC 6803 / Kazusa),126,slr1100,NA,NA,NA,NA,NA,slr1100
P72745,Y1101_SYNY3,Universal stress protein Slr1101 (USP Slr1101),slr1101,Synechocystis sp. (strain PCC 6803 / Kazusa),108,slr1101,NA,NA,NA,NA,NA,slr1101
P72746,P72746_SYNY3,Slr1102 protein,slr1102,Synechocystis sp. (strain PCC 6803 / Kazusa),853,slr1102,NA,NA,NA,NA,NA,slr1102
P72747,P72747_SYNY3,Slr1103 protein,slr1103,Synechocystis sp. (strain PCC 6803 / Kazusa),706,slr1103,NA,NA,NA,NA,NA,slr1103
P72748,P72748_SYNY3,Slr1104 protein,slr1104,Synechocystis sp. (strain PCC 6803 / Kazusa),613,slr1104,NA,NA,NA,NA,NA,slr1104
P72750,P72750_SYNY3,Sll1037 protein,sll1037,Synechocystis sp. (strain PCC 6803 / Kazusa),491,sll1037,NA,NA,NA,NA,NA,sll1037
P72751,P72751_SYNY3,Sll1036 protein,sll1036,Synechocystis sp. (strain PCC 6803 / Kazusa),292,sll1036,NA,NA,NA,NA,NA,sll1036
P72754,P72754_SYNY3,Prohibitin,phb,Synechocystis sp. (strain PCC 6803 / Kazusa),282,NA,phb,NA,GO:0016021,NA,NA,slr1106
P72755,P72755_SYNY3,Slr1107 protein,slr1107,Synechocystis sp. (strain PCC 6803 / Kazusa),444,slr1107,NA,NA,GO:0016021,NA,NA,slr1107
