Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P73801	slr1261		Uncharacterized protein slr1261	179	19,068		syn:slr1261;
Q55884	sll0095		Uncharacterized protein sll0095	567	64,991		syn:sll0095;
P73879	slr0264		Putative esterase slr0264 (EC 3.1.1.-)	369	41,029	3.1.1.-	syn:slr0264;
P73455	ssl3177		Uncharacterized protein ssl3177	90	9,920		syn:ssl3177;
P74328	slr0955		Uncharacterized tRNA/rRNA methyltransferase slr0955 (EC 2.1.1.-)	384	42,845	2.1.1.-	syn:slr0955;
P0CJ64	yoeB ssr2754.1	yoeB	Toxin YoeB (EC 3.1.-.-) (Endoribonuclease YoeB) (Putative mRNA interferase YoeB)	86	10,347	3.1.-.-	
Q55508	trpC slr0546	trpC	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	295	32,952	4.1.1.48	syn:slr0546;
Q55170	uvrB sll0459	uvrB	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	669	76,849		syn:sll0459;
P74178	sll1178		Uncharacterized protein sll1178	615	69,142		syn:sll1178;
Q55740	sll0385		Putative ABC transporter ATP-binding protein sll0385 (EC 7.-.-.-)	284	30,855	7.-.-.-	syn:sll0385;
Q55837	slr0516		Uncharacterized protein slr0516	166	17,867		syn:slr0516;
P22040	sll0415		Uncharacterized ABC transporter ATP-binding protein sll0415	354	39,501		syn:sll0415;
P73844	sll1609		Uncharacterized protein sll1609	177	20,457		syn:sll1609;
P72925	ssl1972		UPF0367 protein ssl1972	93	9,923		syn:ssl1972;
P74557	slr1464		UPF0026 protein slr1464	265	29,300		syn:slr1464;
Q55470	sll0514		Uncharacterized protein sll0514	554	62,410		syn:sll0514;
Q55563	sll0163		Uncharacterized WD repeat-containing protein sll0163	1693	189,935		syn:sll0163;
P73517	ssr2422		Thylakoid membrane protein ssr2422	84	9,509		syn:ssr2422;
P72699	sll0230		UPF0045 protein sll0230	121	13,305		syn:sll0230;
Q55946	sll0787		Uncharacterized protein sll0787	322	34,724		syn:sll0787;
P73295	truA sll1820	truA	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	275	31,356	5.4.99.12	syn:sll1820;
P74523	slr1419		Uncharacterized SufE-like protein slr1419	159	17,684		syn:slr1419;
P74148	sll1388		Universal stress protein Sll1388 (USP Sll1388)	154	17,292		syn:sll1388;
P72913	ssr1765		UPF0150 protein ssr1765	79	8,918		syn:ssr1765;
P74794	ssl0738		UPF0150 protein ssl0738	72	7,719		syn:ssl0738;
P74615	sll1483		Protein sll1483	180	18,471		syn:sll1483;
Q55761	sll0189		UPF0102 protein sll0189	150	16,960		syn:sll0189;
P73346	sll1118		UPF0145 protein sll118	108	11,450		syn:sll1118;
P73125	slr1019		Uncharacterized isomerase slr1019 (EC 5.1.-.-)	306	33,181	5.1.-.-	syn:slr1019;
P58235	yefM ssr2754	yefM	Antitoxin YefM	87	9,688		syn:ssr2754;
P39204	sll1747.1		Uncharacterized protein sll1747.1	81	8,997		
Q55480	slr0537		Uncharacterized sugar kinase slr0537 (EC 2.7.1.-)	333	35,184	2.7.1.-	syn:slr0537;
P72796	aroK sll1669	aroK	Shikimate kinase (SK) (EC 2.7.1.71)	189	20,698	2.7.1.71	syn:sll1669;
P22034	groL2 cpn60-2 groEL-2 groEL2 sll0416	groL2	60 kDa chaperonin 2 (GroEL protein 2) (Protein Cpn60 2)	552	57,774		syn:sll0416;
Q06473	ctaD slr1137	ctaD	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I) (Oxidase aa(3) subunit 1)	551	61,349	7.1.1.9	syn:slr1137;
P74371	cpcT slr1649	cpcT	Chromophore lyase CpcT/CpeT (EC 4.-.-.-)	196	22,579	4.-.-.-	syn:slr1649;
P74268	ddpX vanX slr1679	ddpX	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	247	28,437	3.4.13.22	syn:slr1679;
P72723	dfa2 sll0217	dfa2	Putative diflavin flavoprotein A 2 (EC 1.-.-.-)	578	64,083	1.-.-.-	syn:sll0217;
Q55233	drgA slr1719	drgA	Protein DrgA	210	23,703		syn:slr1719;
Q55759	folE slr0426	folE	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	234	26,640	3.5.4.16	syn:slr0426;
P20169	dspA dfr sll0698	dspA	Drug sensory protein A (EC 2.7.13.3)	663	74,536	2.7.13.3	syn:sll0698;
P74416	gcvP slr0293	gcvP	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	983	107,322	1.4.4.2	syn:slr0293;
Q6ZEQ7	slr5073		Uncharacterized protein	244	27,492		syn:slr5073;
P73568	sll0871		Sll0871 protein	142	15,806		syn:sll0871;
Q55829	slr0509		Alkaline phosphatase like protein	205	22,856		syn:slr0509;
Q55954	sll0780		Sll0780 protein	100	10,922		syn:sll0780;
P73462	ureE	ureE	Urease accessory protein UreE	142	15,867		syn:slr1219;
Q59997	slr0797		Cation-transporting ATPase E1-E2 ATPase	642	68,717		syn:slr0797;
P73541	sll1273		Sll1273 protein	474	53,975		syn:sll1273;
P73570	slr0885		Slr0885 protein	191	21,836		syn:slr0885;
P73857	ssl3127		Ssl3127 protein	75	8,274		syn:ssl3127;
Q6ZE45	ssr8047		Uncharacterized protein	66	7,625		syn:ssr8047;
P72735	sll1040		Sll1040 protein	765	85,416		syn:sll1040;
P73520	sll1352		Sll1352 protein	472	53,293		syn:sll1352;
P73498	slr1241		Slr1241 protein	115	13,367		syn:slr1241;
Q6ZEG8	sll7030		Sll7030 protein	167	18,967		syn:sll7030;
P72939	sll0654		Alkaline phosphatase	1409	149,390		syn:sll0654;
Q55381	slr0920		Slr0920 protein	149	17,378		syn:slr0920;
P73547	cbiT	cbiT	Precorrin decarbocylase	227	24,778		syn:slr1368;
P74485	sll1863		Sll1863 protein	107	12,354		syn:sll1863;
Q55159	sll0055		Processing protease	428	48,118		syn:sll0055;
P72892	slr1614		Slr1614 protein	101	11,648		syn:slr1614;
Q6ZEX1	ssr5009		Uncharacterized protein	79	8,750		syn:ssr5009;
P72985	slr1600		Slr1600 protein	149	17,130		syn:slr1600;
P73144	tyrS	tyrS	Tyrosyl tRNA synthetase	78	8,585		syn:ssr1720;
P72683	crtE	crtE	Geranylgeranyl pyrophosphate synthase	302	32,373		syn:slr0739;
Q55514	slr0552		Slr0552 protein	244	26,721		syn:slr0552;
P72779	sll1680		Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	176	19,661	1.8.4.12	syn:sll1680;
P74780	ssr1562		Ssr1562 protein	83	9,679		syn:ssr1562;
P74711	slr1182		Slr1182 protein	170	19,599		syn:slr1182;
P73111	sll1835		Sll1835 protein	265	28,832		syn:sll1835;
P73862	rbcR	rbcR	Rubisco operon transcriptional regulator	316	35,696		syn:sll1594;
Q6ZEI2	cas1 slr7016	cas1	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	325	36,955	3.1.-.-	syn:slr7016;
P72651	sll1052		Probable membrane transporter protein	124	12,856		syn:sll1052;
Q6ZEH6	ssl7022		Uncharacterized protein	62	7,043		syn:ssl7022;
Q6ZEP9	sll5081		Sll5081 protein	262	30,884		syn:sll5081;
Q55944	slr0799		Transposase	107	12,276		syn:slr0799;
P73213	ssr2857		Ssr2857 protein	64	6,686		syn:ssr2857;
Q6YRU7	slr6057		Slr6057 protein	195	22,076		syn:slr6057;
Q6YRP7	slr6107		Slr6107 protein	173	19,322		syn:slr6107;
P74809	ssl1263		Ssl1263 protein	80	8,520		syn:ssl1263;
Q55893	sll0092		Transposase	228	26,028		syn:sll0092;
P74116	ssl3549		Ssl3549 protein	76	8,955		syn:ssl3549;
P73685	ssl3291		Ssl3291 protein	94	10,666		syn:ssl3291;
P73693	sll1699		Extracellular solute-binding protein	631	70,687		syn:sll1699;
P73368	mgtE	mgtE	Magnesium transporter MgtE	463	51,101		syn:slr1216;
P72767	ssr2972		Ssr2972 protein	56	6,047		syn:ssr2972;
Q55656	sll0309		Sll0309 protein	232	26,949		syn:sll0309;
P74414	slr0292		Slr0292 protein	249	27,279		syn:slr0292;
P72995	ssl2920		Ssl2920 protein	72	8,476		syn:ssl2920;
P74026	ssr2227		Transposase	95	11,027		syn:ssr2227;
Q55420	rfbB	rfbB	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	342	38,488	4.2.1.46	syn:slr0836;
P73227	ndhF	ndhF	NADH dehydrogenase subunit 5	495	53,675		syn:slr2009;
P74399	sll0268		Sll0268 protein	135	14,362		syn:sll0268;
P73874	cobA	cobA	Cob(I)alamin adenosyltransferase	203	22,645		syn:slr0260;
P72875	slr0975		Slr0975 protein	285	32,066		syn:slr0975;
P73221	sll1926		Sll1926 protein	145	16,080		syn:sll1926;
P73536	sll1274		Sll1274 protein	171	20,265		syn:sll1274;
P73027	ssl1922		Transposase	83	10,238		syn:ssl1922;
P73513	sll1355		Sll1355 protein	181	20,737		syn:sll1355;
P73847	sll1606		Sll1606 protein	262	29,366		syn:sll1606;
P74687	sll0442		Sll0442 protein	111	12,228		syn:sll0442;
Q55594	slr0380		Slr0380 protein	459	50,621		syn:slr0380;
Q55627	sll0752		Sll0752 protein	287	31,417		syn:sll0752;
P74808	smr0002		Transposase	34	3,924		syn:smr0002;
P74712	slr1183		Slr1183 protein	194	21,315		syn:slr1183;
Q6ZED7	slr7061		Uncharacterized protein	422	47,890		syn:slr7061;
P73008	mcpA	mcpA	Methyl-accepting chemotaxis protein	869	93,210		syn:slr1044;
P73185	slr1394		Slr1394 protein	151	15,997		syn:slr1394;
P73110	slr1914		Slr1914 protein	118	13,245		syn:slr1914;
Q57253	slr0915		Putative endonuclease	150	17,305		syn:slr0915;
P72834	slr1299		UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	453	49,097	1.1.1.22	syn:slr1299;
P74044	ctaC	ctaC	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)	300	33,471	7.1.1.9	syn:sll0813;
Q55800	sll0082		Sll0082 protein	118	13,848		syn:sll0082;
P73435	tatA ssl2823	tatA	Sec-independent protein translocase protein TatA	75	8,179		syn:ssl2823;
P73990	slr2123		D-isomer specific 2-hydroxyacid dehydrogenase family	318	34,328		syn:slr2123;
Q6ZEH7	ssl7021		Uncharacterized protein	61	6,613		syn:ssl7021;
P74262	slr1674		Slr1674 protein	116	13,033		syn:slr1674;
P72842	glcE	glcE	Glycolate oxidase subunit GlcE	434	47,376		syn:sll1189;
Q55547	sll0293		Sll0293 protein	170	18,583		syn:sll0293;
P73080	sll1940		Sll1940 protein	157	17,011		syn:sll1940;
P73429	ssr2595		High light inducible protein	70	7,822		syn:ssr2595;
P72810	sll1660		Sll1660 protein	194	21,939		syn:sll1660;
P74201	ssr2130		Ssr2130 protein	62	7,016		syn:ssr2130;
Q55830	slr0510		Slr0510 protein	505	57,126		syn:slr0510;
P74628	slr1586		Transposase	106	12,115		syn:slr1586;
Q6ZER7	sll5063		Uncharacterized protein	217	25,629		syn:sll5063;
Q55391	sll0552		Sll0552 protein	168	19,253		syn:sll0552;
Q55931	umuC	umuC	UmuC protein	116	13,030		syn:slr0790;
Q55773	sll0183		Sll0183 protein	259	27,402		syn:sll0183;
P74185	slr1273		Slr1273 protein	146	15,714		syn:slr1273;
P73178	sll1289		Sll1289 protein	194	21,221		syn:sll1289;
Q6ZEN0	ssl5100		Ssl5100 protein	68	7,926		syn:ssl5100;
P73464	slr1222		Slr1222 protein	195	23,278		syn:slr1222;
Q55744	sll0381		Sll0381 protein	294	30,985		syn:sll0381;
Q55990	sll0743		Sll0743 protein	160	19,215		syn:sll0743;
P72669	sohA	sohA	HtaR suppressor protein	110	12,245		syn:slr0724;
Q6ZEL7	ssl5113		Uncharacterized protein	96	10,544		syn:ssl5113;
Q55529	slr0324		OppC in a binding protein-dependent transport system	294	31,913		syn:slr0324;
P73678	sll2003		Sll2003 protein	443	49,886		syn:sll2003;
P72718	slr0254		Slr0254 protein	266	30,394		syn:slr0254;
P73698	slr1813		Slr1813 protein	153	18,387		syn:slr1813;
P73787	pstA	pstA	Phosphate transport system permease protein PstA	290	30,463		syn:slr1249;
P72678	sll0703		Sll0703 protein	399	44,756		syn:sll0703;
P72624	sll1392		Sll1392 protein	203	22,590		syn:sll1392;
P74202	slr1287		Slr1287 protein	336	35,928		syn:slr1287;
P74056	ssr1391		Ssr1391 protein	93	10,746		syn:ssr1391;
Q55672	slr0016		Slr0016 protein	182	20,796		syn:slr0016;
P73838	slr1712		Slr1712 protein	268	30,661		syn:slr1712;
P74738	slr0594		Slr0594 protein	407	43,055		syn:slr0594;
P74173	sll1369		Sll1369 protein	430	46,447		syn:sll1369;
Q6ZEI9	sll7009		WYL domain-containing protein	314	37,069		syn:sll7009;
Q55668	slr0007		Slr0007 protein	253	27,262		syn:slr0007;
P72606	slr1485		Slr1485 protein	349	37,587		syn:slr1485;
P73011	pleD	pleD	PleD	464	52,819		syn:slr1047;
Q55553	sll0177		Sll0177 protein	442	50,675		syn:sll0177;
P74033	slr0806		Slr0806 protein	439	47,989		syn:slr0806;
Q6ZEE7	ssl7051		Uncharacterized protein	88	9,687		syn:ssl7051;
Q55948	sll0785		Sll0785 protein	362	39,046		syn:sll0785;
Q55615	sll0763		Sll0763 protein	119	12,852		syn:sll0763;
P73285	sll1068		Sll1068 protein	143	15,591		syn:sll1068;
P73393	sll1734		Sll1734 protein	431	50,039		syn:sll1734;
Q55430	slr0845		Slr0845 protein	190	21,833		syn:slr0845;
P74624	sll1472		Sll1472 protein	147	16,439		syn:sll1472;
P73855	sll1601		Sll1601 protein	414	44,810		syn:sll1601;
Q55124	glcD	glcD	Glycolate oxidase subunit GlcD	492	53,033		syn:sll0404;
Q55639	sll0321		Sll0321 protein	498	56,041		syn:sll0321;
P73768	slr0872		Slr0872 protein	372	41,516		syn:slr0872;
P73425	slr1541		Slr1541 protein	210	24,189		syn:slr1541;
Q55763	lytB	lytB	Amidase enhancer	535	59,327		syn:slr0191;
P73605	slr1854		Slr1854 protein	198	22,293		syn:slr1854;
P73266	sll1081		Integral membrane components of other binding-protein-dependent transport system	280	30,980		syn:sll1081;
P73195	sll1584		Sll1584 protein	134	15,560		syn:sll1584;
Q6YRP6	slr6108		Slr6108 protein	269	30,475		syn:slr6108;
P74574	sll0625		Sll0625 protein	225	25,632		syn:sll0625;
P73773	sll1162		Sll1162 protein	235	26,903		syn:sll1162;
P73938	sll1428		p3 protein	292	31,227		syn:sll1428;
P73647	slr1880		Slr1880 protein	377	42,661		syn:slr1880;
Q55737	slr0416		Slr0416 protein	146	16,355		syn:slr0416;
Q55528	ams1	ams1	Alpha-mannosidase	1042	120,443		syn:slr0323;
P74341	sll1537		Sll1537 protein	139	15,937		syn:sll1537;
Q55540	ssl0564		Response regulator like protein	89	9,836		syn:ssl0564;
P73194	slr1699		Slr1699 protein	282	31,920		syn:slr1699;
Q55507	cysQ	cysQ	Ammonium transport protein	291	32,197		syn:sll0895;
P73446	slr1552		Slr1552 protein	844	95,957		syn:slr1552;
P72954	slr0686		Slr0686 protein	119	13,373		syn:slr0686;
P74683	sll0445		Sll0445 protein	495	54,395		syn:sll0445;
Q55841	abfB	abfB	Arabinofuranosidase	177	20,485		syn:slr0518;
Q55975	sll0666		Transposase	139	16,358		syn:sll0666;
P74679	sll0449		Sll0449 protein	372	42,661		syn:sll0449;
P73048	sll1638		Sll1638 protein	149	16,477		syn:sll1638;
P74405	sll0261		Potassium channel	568	62,291		syn:sll0261;
P74791	ssr0692		Ssr0692 protein	51	5,851		syn:ssr0692;
P73060	sll1751		Sll1751 protein	111	12,370		syn:sll1751;
Q55520	ssl1004		Ssl1004 protein	92	10,085		syn:ssl1004;
Q6ZE87	ssl8005		Ssl8005 protein	96	10,780		syn:ssl8005;
P74630	sll0735		Sll0735 protein	529	62,075		syn:sll0735;
P74094	slr1958		Slr1958 protein	200	23,031		syn:slr1958;
Q6ZEM8	slr5102		Slr5102 protein	200	22,901		syn:slr5102;
P74495	sll1851		Sll1851 protein	128	15,011		syn:sll1851;
P73153	sll0981		Sll0981 protein	165	18,895		syn:sll0981;
Q6ZE92	sll7106		Exodeoxyribonuclease V alpha chain	622	68,821		syn:sll7106;
P73035	slr1759		Histidine kinase (EC 2.7.13.3)	1462	163,928	2.7.13.3	syn:slr1759;
P72748	slr1104		Slr1104 protein	613	69,334		syn:slr1104;
Q6ZEG7	sll7031		Sll7031 protein	100	10,876		syn:sll7031;
Q6ZET1	sll5049		Sll5049 protein	447	49,877		syn:sll5049;
P74329	slr0957		Slr0957 protein	103	11,555		syn:slr0957;
P73453	sll1634		Sll1634 protein	349	38,529		syn:sll1634;
Q55608	slr0773		Slr0773 protein	226	24,118		syn:slr0773;
P72886	rfbG	rfbG	CDP-glucose-4,6-dehydratase	360	40,075		syn:slr0984;
P73414	sll1716		Transposase	261	30,604		syn:sll1716;
Q55772	ssl0353		Ssl0353 protein	97	10,939		syn:ssl0353;
P73082	ssr3465		Ssr3465 protein	79	8,728		syn:ssr3465;
P73373	pmgA	pmgA	PmgA	222	25,327		syn:sll1968;
P73871	sll1586		Sll1586 protein	1749	190,202		syn:sll1586;
Q55127	slr0439		Slr0439 protein	501	54,610		syn:slr0439;
P73535	slr1362		Slr1362 protein	133	14,794		syn:slr1362;
P74742	sll0565		Sll0565 protein	133	15,219		syn:sll0565;
Q6ZE96	slr7102		Slr7102 protein	338	38,719		syn:slr7102;
Q6ZEI0	ssr7018		Uncharacterized protein	73	7,923		syn:ssr7018;
Q6ZEL3	ssr5117		Ssr5117 protein	71	7,950		syn:ssr5117;
Q55603	slr0388		Slr0388 protein	224	25,621		syn:slr0388;
P72628	slr1115		Slr1115 protein	257	28,673		syn:slr1115;
Q6ZEJ7	sll7001		Transposase	102	12,366		syn:sll7001;
P73692	slr1809		Slr1809 protein	265	29,761		syn:slr1809;
Q55695	slr0224		Slr0224 protein	231	26,994		syn:slr0224;
P73542	sll1272		Sll1272 protein	256	29,008		syn:sll1272;
P72822	sll1201		Sll1201 protein	264	30,301		syn:sll1201;
Q55441	slr0023		Slr0023 protein	204	23,101		syn:slr0023;
P72994	vapB	vapB	Virulence associated protein B	75	8,539		syn:ssl2922;
P74307	slr0941		Slr0941 protein	147	17,215		syn:slr0941;
P73614	slr1864		Slr1864 protein	356	39,482		syn:slr1864;
P73250	sll1913		Sll1913 protein	599	66,600		syn:sll1913;
P74136	lytR	lytR	Membrane bound protein LytR	463	50,774		syn:sll1872;
P73919	ssl3769		Ssl3769 protein	74	8,107		syn:ssl3769;
Q55735	sll0394		Sll0394 protein	208	22,732		syn:sll0394;
P74508	ycf47	ycf47	Protein-export membrane protein SecG	77	8,135		syn:ssr3307;
P73488	sll1130		Sll1130 protein	115	12,933		syn:sll1130;
Q55495	sll0494		Sll0494 protein	301	34,079		syn:sll0494;
P73496	pntA	pntA	Proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	530	56,049	7.1.1.1	syn:slr1239;
P73854	lacG	lacG	Lactose transport system permease protein LacG	270	29,953		syn:slr1723;
P73497	slr1240		Slr1240 protein	179	21,060		syn:slr1240;
P73444	rfbJ	rfbJ	RfbJ protein	318	35,769		syn:sll1457;
P73184	slr1393		Sensory transduction histidine kinase	974	109,534		syn:slr1393;
P73137	sll0992		S-formylglutathione hydrolase (EC 3.1.2.12)	276	30,562	3.1.2.12	syn:sll0992;
P74303	murT slr0938	murT	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)	459	50,227	6.3.5.13	syn:slr0938;
P73546	glgP	glgP	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	855	98,305	2.4.1.1	syn:slr1367;
Q6ZEP1	sll5089		Uncharacterized protein	255	28,485		syn:sll5089;
P72615	sll1400		Sll1400 protein	113	12,991		syn:sll1400;
P73417	hisC	hisC	L-threonine-O-3-phosphate decarboxylase (EC 4.1.1.81)	352	38,933	4.1.1.81	syn:sll1713;
P74096	sll1898		Sll1898 protein	332	36,135		syn:sll1898;
P74030	sll1217		Sll1217 protein	225	25,605		syn:sll1217;
P73328	slr1900		Slr1900 protein	247	27,406		syn:slr1900;
Q6YRW2	slr6042		Slr6042 protein	545	59,611		syn:slr6042;
P74718	slr1189		Slr1189 protein	351	38,413		syn:slr1189;
Q6ZEU8	sll5032		Sll5032 protein	116	12,657		syn:sll5032;
P73886	ychF sll0245	ychF	Ribosome-binding ATPase YchF	363	39,317		syn:sll0245;
P72859	sll0938		Aspartate transaminase	391	42,072		syn:sll0938;
P74385	slr0445		Slr0445 protein	210	23,796		syn:slr0445;
Q55824	slr0505		Slr0505 protein	190	21,535		syn:slr0505;
P74419	slr0393		Slr0393 protein	121	14,537		syn:slr0393;
P73669	sll2009		Processing protease	435	48,105		syn:sll2009;
Q6ZEX3	ssl5007		Uncharacterized protein	82	9,359		syn:ssl5007;
P72858	sll0939		Sll0939 protein	125	14,285		syn:sll0939;
P73875	ssl0467		Ssl0467 protein	71	8,254		syn:ssl0467;
Q55742	cbiM	cbiM	CbiM protein	214	22,798		syn:sll0383;
Q6ZEV4	sll5026		Sll5026 protein	690	80,290		syn:sll5026;
P73802	slr1262		Probable membrane transporter protein	288	30,580		syn:slr1262;
P74128	slr1977		Slr1977 protein	244	26,143		syn:slr1977;
P73752	sll0846		Sll0846 protein	102	11,635		syn:sll0846;
P73356	slr1206		Slr1206 protein	211	24,064		syn:slr1206;
P73382	ssl3712		Ssl3712 protein	84	10,248		syn:ssl3712;
Q55960	slr0698		Slr0698 protein	154	18,016		syn:slr0698;
P74655	sll1550		Sll1550 protein	544	58,631		syn:sll1550;
P73506	ssr2406		Ssr2406 protein	74	8,215		syn:ssr2406;
P74020	ssl2420		Ssl2420 protein	84	9,776		syn:ssl2420;
Q6ZEA0	slr7098		Uncharacterized protein	290	33,195		syn:slr7098;
P73358	ssr2016		Ssr2016 protein	65	7,204		syn:ssr2016;
Q6ZED1	sll7067		Uncharacterized protein	558	62,247		syn:sll7067;
Q6ZEB8	slr7080		Uncharacterized protein	310	33,773		syn:slr7080;
P72741	slr1097		Slr1097 protein	163	19,003		syn:slr1097;
Q79EE5	slr1588		Regulatory components of sensory transduction system	421	47,089		syn:slr1588;
Q55407	slr0580		Slr0580 protein	415	44,669		syn:slr0580;
P74067	ssl1498		Ssl1498 protein	61	6,399		syn:ssl1498;
P73765	slr0869		Slr0869 protein	812	92,533		syn:slr0869;
Q6ZEP7	sll5083		AAA domain-containing protein	625	69,330		syn:sll5083;
P73713	sll1687		Sll1687 protein	970	109,821		syn:sll1687;
P73682	mbpA	mbpA	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	309	35,977	2.1.1.72	syn:slr1803;
P74347	rfbP	rfbP	Galactosyl-1-phosphate transferase	243	27,789		syn:sll1535;
Q6ZEJ8	sll5132		Sll5132 protein	507	59,618		syn:sll5132;
Q55853	sll0595		Sll0595 protein	143	15,780		syn:sll0595;
Q55753	braG or livF	braG or livF	High-affinity branched-chain amino acid transport ATP-binding protein	249	27,424		syn:sll0374;
P73401	icsA	icsA	LPS glycosyltransferase IcsA	379	41,786		syn:sll1724;
Q55131	slr0049		Slr0049 protein	398	44,058		syn:slr0049;
P73828	sll1905		Hybrid sensory kinase	1014	111,605		syn:sll1905;
P73072	ssr3452		Transposase	57	6,721		syn:ssr3452;
P74350	slr1634		Slr1634 protein	124	13,258		syn:slr1634;
P74159	petF	petF	Ferredoxin	122	13,838		syn:sll1382;
P72845	sll1188		Sll1188 protein	164	18,816		syn:sll1188;
P74752	slr0605		Slr0605 protein	319	36,538		syn:slr0605;
P73026	ssl1923		Ssl1923 protein	52	5,845		syn:ssl1923;
P73130	sll0995		Sll0995 protein	231	26,230		syn:sll0995;
Q6ZEB1	sll7087		Uncharacterized protein	268	29,929		syn:sll7087;
Q55572	sll0156		Sll0156 protein	208	23,269		syn:sll0156;
P74198	sll1169		Sll1169 protein	238	26,797		syn:sll1169;
P73582	sll0864		Sll0864 protein	157	18,062		syn:sll0864;
Q55133	sll0072		Sll0072 protein	227	25,800		syn:sll0072;
P74107	sll1892		Sll1892 protein	248	25,669		syn:sll1892;
Q6ZEB7	slr7081		Uncharacterized protein	462	54,049		syn:slr7081;
Q55658	sll0023		Sll0023 protein	447	51,653		syn:sll0023;
P74488	rfbC	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	182	20,648	5.1.3.13	syn:slr1933;
P73491	ssr2060		Ssr2060 protein	79	8,223		syn:ssr2060;
P72786	sll1675		Sll1675 protein	150	16,355		syn:sll1675;
Q55906	slr0302		Slr0302 protein	768	87,250		syn:slr0302;
Q6YRU8	slr6056		Slr6056 protein	119	13,044		syn:slr6056;
Q6ZEK8	sll5122		Sll5122 protein	420	47,188		syn:sll5122;
P72691	glgX	glgX	Glycogen operon protein GlgX	746	83,501		syn:slr0237;
Q55966	sll0676		Sll0676 protein	180	20,745		syn:sll0676;
P72746	slr1102		Slr1102 protein	853	96,640		syn:slr1102;
P73694	sll1698		Sll1698 protein	126	14,220		syn:sll1698;
P74225	sll1102		Sll1102 protein	179	20,180		syn:sll1102;
P72837	sll1191		Sll1191 protein	134	14,595		syn:sll1191;
P74244	ssl2138		Ssl2138 protein	68	7,700		syn:ssl2138;
P73946	slr1506		Slr1506 protein	622	68,847		syn:slr1506;
P73992	slr2125		Slr2125 protein	264	30,441		syn:slr2125;
Q55417	sll0832		Sll0832 protein	151	17,130		syn:sll0832;
P74490	pdhA slr1934	pdhA	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	342	38,158	1.2.4.1	syn:slr1934;
Q6ZEU5	sll5035		ArsR family transcriptional regulatory protein	112	12,526		syn:sll5035;
P74542	sll1329		Monophosphatase	287	31,555		syn:sll1329;
P73116	slr1918		Slr1918 protein	228	25,216		syn:slr1918;
Q6ZEL2	slr5118		Slr5118 protein	272	31,035		syn:slr5118;
Q55183	rfbM	rfbM	Phosphomannose isomerase	128	14,427		syn:slr0493;
Q55743	sll0382		Sll0382 protein	176	18,414		syn:sll0382;
Q6ZEF8	ssr7040		Ssr7040 protein	83	9,206		syn:ssr7040;
P74135	sll1873		Sll1873 protein	121	12,906		syn:sll1873;
Q55554	sll0176		Sll0176 protein	167	18,948		syn:sll0176;
P73895	sll0243		Sll0243 protein	416	46,721		syn:sll0243;
P73112	sll1834		Sll1834 protein	134	15,490		syn:sll1834;
Q6ZEX5	slr5005		Slr5005 protein	3797	405,001		syn:slr5005;
P74777	ycf34	ycf34	Ycf34 gene product	82	9,572		syn:ssr1425;
P74605	slr1572		Slr1572 protein	284	32,134		syn:slr1572;
Q55903	slr0299		Slr0299 protein	235	27,789		syn:slr0299;
P73007	slr1043		Slr1043 protein	187	20,682		syn:slr1043;
P74629	sll0736		Sll0736 protein	408	46,823		syn:sll0736;
P73362	cobN	cobN	CobN protein	1092	123,111		syn:slr1211;
P74428	slr0398		Slr0398 protein	161	18,080		syn:slr0398;
P74444	slr0145		Slr0145 protein	136	15,045		syn:slr0145;
Q6YRU6	slr6058		Slr6058 protein	196	22,144		syn:slr6058;
Q6ZE75	sll8017		Uncharacterized protein	177	19,851		syn:sll8017;
Q55478	sll0509		Ap-4-A phosphorylase II	302	33,898		syn:sll0509;
P74504	ssr3304		Ssr3304 protein	58	6,926		syn:ssr3304;
