GeneID,psortB_localization,psortB_score,Process,Pathway,Protein,Entry,Entry.name,Status,Protein.names,Gene.names,EC.number,Catalytic.activity,Cofactor,Function..CC.,Gene.ontology..GO.,Gene.ontology..biological.process.,Gene.ontology..molecular.function.,Gene.ontology..cellular.component.,Gene.ontology.IDs,GRAVY,Length,ExposedAA,First60AA,Helices,Topology,MolWeight,Process.abbr,Pathway.abbr,location,start_bp,end_bp
sll1785,Unknown,2.5,Unknown,Unknown,"periplasmic protein, function unknown",P73600,P73600_SYNY3,unreviewed,Sll1785 protein,sll1785,NA,NA,NA,NA,outer membrane-bounded periplasmic space [GO:0030288]; metal ion binding [GO:0046872],NA,metal ion binding [GO:0046872],outer membrane-bounded periplasmic space [GO:0030288],GO:0046872; GO:0030288,-0.13171641791045,268,21.66,21.65,1,i7-29o,30.02,Unknown,Unknown,Chr,1188079,1188885
sll1786,Cytoplasmic,9.97,Other categories,Other,"putative deoxyribonuclease, tatD homolog",P73335,DTD3_SYNY3,reviewed,D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA deacylase),dtd3 sll1786,3.1.1.96,"CATALYTIC ACTIVITY: A D-aminoacyl-tRNA + H(2)O = a D-amino acid + tRNA. {ECO:0000255|HAMAP-Rule:MF_02048, ECO:0000269|PubMed:19332551}.","COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:19332551}; ; COFACTOR: Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000269|PubMed:19332551}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:19332551}; Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000269|PubMed:19332551}; ;  Note=The enzyme activity depends on the nature of the second cofactor. Enzyme containing simultaneously Zn(2+) and either Co(2+), Ni(2+) or Mn(2+) exhibits high activity. Enzyme containing two Zn(2+) is poorly active. {ECO:0000269|PubMed:19332551};","FUNCTION: Catalyzes the hydrolysis of D-tyrosyl-tRNA(Tyr). {ECO:0000255|HAMAP-Rule:MF_02048, ECO:0000269|PubMed:19332551}.","deoxyribonuclease activity [GO:0004536]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]; DNA catabolic process [GO:0006308]",DNA catabolic process [GO:0006308],"deoxyribonuclease activity [GO:0004536]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]",NA,GO:0006308; GO:0004536; GO:0016888; GO:0046872,-0.14099616858238,261,0,0,0,o,29.27,Other,Other,Chr,860952,861737
sll1787,Cytoplasmic,9.97,Transcription,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta subunit,P77965,RPOB_SYNY3,reviewed,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta),rpoB sll1787,2.7.7.6,CATALYTIC ACTIVITY: Nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). {ECO:0000255|HAMAP-Rule:MF_01321}.,NA,FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_01321}.,"DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]","transcription, DNA-templated [GO:0006351]",DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549],DNA-directed RNA polymerase complex [GO:0000428],GO:0003677; GO:0003899; GO:0000428; GO:0032549; GO:0006351,-0.46506352087114,1102,0.01,0,0,o,123.38,Transcript,"RNA synthesis, mod",Chr,857558,860866
sll1789,Cytoplasmic,9.97,Transcription,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta prime subunit,P73334,RPOC2_SYNY3,reviewed,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta'),rpoC2 sll1789,2.7.7.6,CATALYTIC ACTIVITY: Nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). {ECO:0000255|HAMAP-Rule:MF_01324}.,NA,FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_01324}.,"DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]","transcription, DNA-templated [GO:0006351]",DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899],NA,GO:0003677; GO:0003899; GO:0006351,-0.36932422171602,1317,0.01,0,0,o,144.8,Transcript,"RNA synthesis, mod",Chr,853497,857450
sll1791,Unknown,2,Other categories,Transposon-related functions,putative transposase [ISY802a: 852462 - 853369],P73333,P73333_SYNY3,unreviewed,Transposase,sll1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6125,128,0.01,0.01,0,o,14.65,Other,Transposon-related,Chr,852895,853281
sll1792,Unknown,2,Other categories,Transposon-related functions,putative transposase [ISY802a: 852462 - 853369],P73332,P73332_SYNY3,unreviewed,Transposase,sll1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07535211267606,142,0.14,0.07,0,o,16.26,Other,Transposon-related,Chr,852470,852898
sll1796,Periplasmic,9.84,Photosynthesis and respiration,Soluble electron carriers,cytochrome c553,P46445,CYC6_SYNY3,reviewed,Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f),petJ sll1796,NA,NA,NA,FUNCTION: Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis. {ECO:0000250}.,thylakoid lumen [GO:0031977]; electron carrier activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidation-reduction process [GO:0055114]; photosynthesis [GO:0015979],oxidation-reduction process [GO:0055114]; photosynthesis [GO:0015979],electron carrier activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506],thylakoid lumen [GO:0031977],GO:0009055; GO:0020037; GO:0005506; GO:0055114; GO:0015979; GO:0031977,0.27833333333333,120,23.29,23.19,1,i13-35o,12.46,Photosynth,Soluble electron c,Chr,845966,846328
sll1797,Unknown,2,Hypothetical,Hypothetical,hypothetical protein YCF21,NA,NA,NA,NA,sll1797,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46237623762376,202,0,0,0,o,23.36,Hypoth,Hypothetical,Chr,843613,844221
sll1799,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L3,P73320,RL3_SYNY3,reviewed,50S ribosomal protein L3,rplC rpl3 sll1799,NA,NA,NA,"FUNCTION: One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. {ECO:0000255|HAMAP-Rule:MF_01325}.",ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],ribosome [GO:0005840],GO:0019843; GO:0005840; GO:0003735; GO:0006412,-0.37605633802817,213,0,0,0,o,22.75,Translat,Ribosomal proteins,Chr,841972,842613
sll1800,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L4,P73319,RL4_SYNY3,reviewed,50S ribosomal protein L4,rplD rpl4 sll1800,NA,NA,NA,"FUNCTION: One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome. {ECO:0000255|HAMAP-Rule:MF_01328}.; FUNCTION: Forms part of the polypeptide exit tunnel. {ECO:0000255|HAMAP-Rule:MF_01328}.",ribosome [GO:0005840]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],ribosome [GO:0005840],GO:0003723; GO:0019843; GO:0005840; GO:0003735; GO:0006412,-0.47190476190476,210,0.09,0,0,o,23.36,Translat,Ribosomal proteins,Chr,841300,841932
sll1801,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L23,P73318,RL23_SYNY3,reviewed,50S ribosomal protein L23,rplW rpl23 sll1801,NA,NA,NA,FUNCTION: One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome. {ECO:0000255|HAMAP-Rule:MF_01369}.,cytosolic large ribosomal subunit [GO:0022625]; nucleotide binding [GO:0000166]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],nucleotide binding [GO:0000166]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625],GO:0022625; GO:0000166; GO:0019843; GO:0000027; GO:0003735; GO:0006412,-0.23861386138614,101,0.01,0,0,o,11.53,Translat,Ribosomal proteins,Chr,841002,841307
sll1802,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L2,P73317,RL2_SYNY3,reviewed,50S ribosomal protein L2,rplB rpl2 sll1802,NA,NA,NA,"FUNCTION: One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity; this is somewhat controversial. Makes several contacts with the 16S rRNA in the 70S ribosome. {ECO:0000255|HAMAP-Rule:MF_01320}.",cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]; cytoplasmic translation [GO:0002181],cytoplasmic translation [GO:0002181],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740],cytosolic large ribosomal subunit [GO:0022625],GO:0002181; GO:0022625; GO:0019843; GO:0003735; GO:0016740,-0.66775362318841,276,0.03,0,0,o,30.44,Translat,Ribosomal proteins,Chr,840122,840952
sll1803,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L22,P73315,RL22_SYNY3,reviewed,50S ribosomal protein L22,rplV rpl22 sll1803,NA,NA,NA,"FUNCTION: This protein binds specifically to 23S rRNA; its binding is stimulated by other ribosomal proteins, e.g. L4, L17, and L20. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity). {ECO:0000255|HAMAP-Rule:MF_01331}.; FUNCTION: The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome. {ECO:0000255|HAMAP-Rule:MF_01331}.",large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],large ribosomal subunit [GO:0015934],GO:0015934; GO:0019843; GO:0003735; GO:0006412,-0.18264462809917,121,0.04,0,0,o,13.5,Translat,Ribosomal proteins,Chr,839430,839795
sll1804,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,30S ribosomal protein S3,P73314,RS3_SYNY3,reviewed,30S ribosomal protein S3,rpsC rps3 sll1804,NA,NA,NA,"FUNCTION: Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation. {ECO:0000255|HAMAP-Rule:MF_01309}.",small ribosomal subunit [GO:0015935]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],small ribosomal subunit [GO:0015935],GO:0003729; GO:0019843; GO:0015935; GO:0003735; GO:0006412,-0.54291666666667,240,0.16,0,0,o,27.15,Translat,Ribosomal proteins,Chr,838678,839400
sll1805,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L16,P73313,RL16_SYNY3,reviewed,50S ribosomal protein L16,rplP rpl16 sll1805,NA,NA,NA,FUNCTION: Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs. {ECO:0000255|HAMAP-Rule:MF_01342}.,ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],ribosome [GO:0005840],GO:0019843; GO:0005840; GO:0003735; GO:0000049; GO:0006412,-0.58776978417266,139,0,0,0,o,16.04,Translat,Ribosomal proteins,Chr,838218,838637
sll1806,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L14,P73310,RL14_SYNY3,reviewed,50S ribosomal protein L14,rplN rpl14 sll1806,NA,NA,NA,FUNCTION: Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome. {ECO:0000255|HAMAP-Rule:MF_01367}.,large ribosomal subunit [GO:0015934]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],large ribosomal subunit [GO:0015934],GO:0015934; GO:0070180; GO:0003735; GO:0006412,-0.05819672131147,122,4.03,4.03,0,o,13.3,Translat,Ribosomal proteins,Chr,837349,837717
sll1807,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L24,P73309,RL24_SYNY3,reviewed,50S ribosomal protein L24,rplX rpl24 sll1807,NA,NA,NA,"FUNCTION: One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. {ECO:0000255|HAMAP-Rule:MF_01326}.; FUNCTION: One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit. {ECO:0000255|HAMAP-Rule:MF_01326}.",ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],ribosome [GO:0005840],GO:0019843; GO:0005840; GO:0003735; GO:0006412,-0.56190476190476,105,0,0,0,i,11.71,Translat,Ribosomal proteins,Chr,837001,837318
sll1808,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L5,P73308,RL5_SYNY3,reviewed,50S ribosomal protein L5,rplE rpl5 sll1808,NA,NA,NA,"FUNCTION: This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits; this bridge is implicated in subunit movement. Contacts the P site tRNA; the 5S rRNA and some of its associated proteins might help stabilize positioning of ribosome-bound tRNAs. {ECO:0000255|HAMAP-Rule:MF_01333}.",cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],cytosolic large ribosomal subunit [GO:0022625],GO:0022625; GO:0019843; GO:0000027; GO:0003735; GO:0000049; GO:0006412,-0.282,200,0,0,0,o,22.51,Translat,Ribosomal proteins,Chr,836352,836954
sll1809,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,30S ribosomal protein S8,P73307,RS8_SYNY3,reviewed,30S ribosomal protein S8,rpsH rps8 sll1809,NA,NA,NA,"FUNCTION: One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit. {ECO:0000255|HAMAP-Rule:MF_01302}.",ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],ribosome [GO:0005840],GO:0019843; GO:0005840; GO:0003735; GO:0006412,-0.15714285714286,133,2.93,0,0,o,14.67,Translat,Ribosomal proteins,Chr,835859,836260
sll1810,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L6,P73306,RL6_SYNY3,reviewed,50S ribosomal protein L6,rplF rpl6 sll1810,NA,NA,NA,"FUNCTION: This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center. {ECO:0000255|HAMAP-Rule:MF_01365}.",cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181],cytoplasmic translation [GO:0002181],RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625],GO:0003723; GO:0002181; GO:0022625; GO:0019843; GO:0003735,-0.59162011173184,179,0,0,0,o,19.67,Translat,Ribosomal proteins,Chr,835260,835799
sll1811,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L18,P73305,RL18_SYNY3,reviewed,50S ribosomal protein L18,rplR rpl18 sll1811,NA,NA,NA,"FUNCTION: This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. {ECO:0000255|HAMAP-Rule:MF_01337}.",cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625],GO:0008097; GO:0022625; GO:0003735; GO:0006412,-0.54666666666667,120,0,0,0,i,13.21,Translat,Ribosomal proteins,Chr,834894,835256
sll1812,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,30S ribosomal protein S5,P73304,RS5_SYNY3,reviewed,30S ribosomal protein S5,rpsE rps5 sll1812,NA,NA,NA,FUNCTION: With S4 and S12 plays an important role in translational accuracy. {ECO:0000255|HAMAP-Rule:MF_01307}.; FUNCTION: Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body. {ECO:0000255|HAMAP-Rule:MF_01307}.,small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],small ribosomal subunit [GO:0015935],GO:0019843; GO:0015935; GO:0003735; GO:0006412,-0.17803468208093,173,0.21,0.05,0,i,18.24,Translat,Ribosomal proteins,Chr,834333,834854
sll1813,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L15,P73303,RL15_SYNY3,reviewed,50S ribosomal protein L15,rplO rpl15 sll1813,NA,NA,NA,FUNCTION: Binds to the 23S rRNA. {ECO:0000255|HAMAP-Rule:MF_01341}.,large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],large ribosomal subunit [GO:0015934],GO:0015934; GO:0019843; GO:0003735; GO:0006412,-0.19183673469388,147,0.08,0.05,0,o,15.2,Translat,Ribosomal proteins,Chr,833821,834264
sll1814,CytoplasmicMembrane,10,Cellular processes,Protein and peptide secretion,preprotein translocase SecY subunit,P77964,SECY_SYNY3,reviewed,Protein translocase subunit SecY,secY sll1814,NA,NA,NA,"FUNCTION: The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently. {ECO:0000255|HAMAP-Rule:MF_01465}.",integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; thylakoid membrane [GO:0042651]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952],intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952],NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; thylakoid membrane [GO:0042651],GO:0016021; GO:0065002; GO:0005886; GO:0006605; GO:0043952; GO:0042651,0.55633484162896,442,219.08,21.98,10,i21-43o63-85i127-144o154-176i181-203o218-237i272-294o319-341i372-394o398-420i,48.01,CellProc,Protein and peptid,Chr,832391,833719
sll1815,Cytoplasmic,9.97,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,adenylate kinase,P73302,KAD1_SYNY3,reviewed,Adenylate kinase 1 (AK 1) (EC 2.7.4.3) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase 1) (Adenylate monophosphate kinase 1),adk1 sll1815,2.7.4.3,CATALYTIC ACTIVITY: ATP + AMP = 2 ADP. {ECO:0000255|HAMAP-Rule:MF_00235}.,NA,FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000255|HAMAP-Rule:MF_00235}.,cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; AMP salvage [GO:0044209],AMP salvage [GO:0044209],adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524],cytoplasm [GO:0005737],GO:0044209; GO:0005524; GO:0004017; GO:0005737,-0.15828877005348,187,0.02,0.02,0,o,20.46,Nucleot,Purine ribonucleot,Chr,831702,832265
sll1816,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,30S ribosomal protein S13,P73299,RS13_SYNY3,reviewed,30S ribosomal protein S13,rpsM rps13 sll1816,NA,NA,NA,"FUNCTION: Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits; these bridges are implicated in subunit movement. Contacts the tRNAs in the A and P-sites. {ECO:0000255|HAMAP-Rule:MF_01315}.",ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412],translation [GO:0006412],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],ribosome [GO:0005840],GO:0019843; GO:0005840; GO:0003735; GO:0000049; GO:0006412,-0.86692913385827,127,0.01,0.01,0,o,14.57,Translat,Ribosomal proteins,Chr,830635,831018
sll1817,Cytoplasmic,9.26,Translation,Ribosomal proteins: synthesis and modification,30S ribosomal protein S11,P73298,RS11_SYNY3,reviewed,30S ribosomal protein S11,rpsK rps11 sll1817,NA,NA,NA,"FUNCTION: Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome. {ECO:0000255|HAMAP-Rule:MF_01310}.","cytosolic small ribosomal subunit [GO:0022627]; mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]",mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],cytosolic small ribosomal subunit [GO:0022627],GO:0022627; GO:0048027; GO:0000462; GO:0000028; GO:0070181; GO:0003735; GO:0006412,-0.46384615384615,130,0.01,0.01,0,i,13.76,Translat,Ribosomal proteins,Chr,830194,830586
sll1818,Cytoplasmic,9.97,Transcription,"RNA synthesis, modification, and DNA transcription",RNA polymerase alpha subunit,P73297,RPOA_SYNY3,reviewed,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),rpoA sll1818,2.7.7.6,CATALYTIC ACTIVITY: Nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). {ECO:0000255|HAMAP-Rule:MF_00059}.,NA,FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_00059}.,"DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; DNA repair [GO:0006281]; transcription, DNA-templated [GO:0006351]","DNA repair [GO:0006281]; transcription, DNA-templated [GO:0006351]",DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899],NA,GO:0003677; GO:0006281; GO:0003899; GO:0006351,-0.2359872611465,314,0.34,0.32,0,o,35.01,Transcript,"RNA synthesis, mod",Chr,829141,830085
sll1819,Cytoplasmic,9.97,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L17,P73296,RL17_SYNY3,reviewed,50S ribosomal protein L17,rplQ rpl17 sll1819,NA,NA,NA,NA,large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],translation [GO:0006412],structural constituent of ribosome [GO:0003735],large ribosomal subunit [GO:0015934],GO:0015934; GO:0003735; GO:0006412,-0.61034482758621,116,0,0,0,o,13.23,Translat,Ribosomal proteins,Chr,828713,829063
sll1820,Unknown,2,Translation,Aminoacyl tRNA synthetases and tRNA modification,tRNA pseudouridine synthase 1,P73295,TRUA_SYNY3,reviewed,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I),truA sll1820,5.4.99.12,CATALYTIC ACTIVITY: tRNA uridine(38-40) = tRNA pseudouridine(38-40). {ECO:0000255|HAMAP-Rule:MF_00171}.,NA,"FUNCTION: Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs. {ECO:0000255|HAMAP-Rule:MF_00171}.",pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthesis [GO:0031119],tRNA pseudouridine synthesis [GO:0031119],pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723],NA,GO:0003723; GO:0009982; GO:0031119,-0.29127272727273,275,0.32,0.01,0,o,31.36,Translat,Aminoacyl tRNA syn,Chr,827868,828695
